code,name,industry,area,pe,outstanding,totals,esp,bvps,pb,timeToMarket,rev,profit,gpr,npr,tmpclose,pos2year,pos1year,pos6month,de2year,de1year,de6month,totalvalue,subvalue
603519,立霸股份,家用电器,江苏,25.47,2.22,2.22,0.076,3.27,2.36,20150319,-7.41,-20.12,16.34,6.49,7.73,0.01,0.02,0.02,0.7,0.57,0.47,17.16,17.16
2118,紫鑫药业,中成药,吉林,12.33,10.25,12.81,0.216,3.44,1.55,20070302,85.47,150.88,71.04,32.91,5.33,0,0,0,0.47,0.47,0.47,68.28,54.63
600555,海航创新,旅游服务,海南,80.07,9.74,13.04,0.01,1.22,2.75,20010328,-80.26,127.74,-104.05,995.85,3.35,0.09,0.12,0,0.54,0.47,0.47,43.68,32.63
2499,科林环保,环境保护,江苏,19.66,1.63,1.89,0.134,4.06,2.59,20101109,-48.08,412.24,37.97,25.15,10.5,0.04,0.06,0.1,0.67,0.59,0.47,19.85,17.12
300462,华铭智能,专用机械,上海,21.87,0.68,1.38,0.2,4.47,3.92,20150527,15.97,475.38,44.56,33.84,17.52,0.08,0.08,0.11,0.57,0.57,0.47,24.18,11.91
886,海南高速,路桥,海南,27.67,9.65,9.89,0.076,2.71,1.54,19980123,-28.87,-18.32,60.61,28.36,4.18,0,0,0,0.47,0.47,0.47,41.34,40.34
600029,南方航空,空运,广东,6.54,70.23,100.88,0.252,5.24,1.26,20030725,10.11,64.13,14.47,7.46,6.6,0.04,0.04,0.04,0.48,0.48,0.47,665.81,463.52
600365,通葡股份,红黄药酒,吉林,137.96,4,4,0.015,1.74,2.41,20010115,7.4,428.91,17.53,1.2,4.19,0,0,0,0.68,0.52,0.47,16.76,16.76
300430,诚益通,电器仪表,北京,46.43,1.55,2.72,0.044,5.68,1.44,20150319,32.25,4.76,45.38,10.97,8.17,0.02,0.03,0.04,0.65,0.53,0.47,22.22,12.66
603009,北特科技,汽车配件,上海,27.77,3.21,3.59,0.07,4.67,1.54,20140718,17.03,20.33,27.58,8.05,7.19,0.02,0.05,0.06,0.72,0.51,0.47,25.81,23.08
600560,金自天正,电气设备,北京,100.4,2.24,2.24,0.02,3.34,2.38,20020919,-10,-30.55,21.31,4.02,7.95,0.04,0.06,0.06,0.55,0.47,0.47,17.81,17.81
600012,皖通高速,路桥,安徽,8.63,11.66,16.59,0.162,5.82,0.96,20030107,1.64,-8.68,55.57,36.8,5.58,0.01,0.02,0.03,0.68,0.59,0.47,92.57,65.06
2638,勤上股份,半导体,广东,21.16,9.79,15.19,0.036,3.44,0.89,20111125,3.66,24.75,27.44,17.24,3.05,0.03,0.05,0.08,0.74,0.58,0.47,46.33,29.86
532,华金资本,元器件,广东,183.19,3.43,3.45,0.012,2.16,4.18,19940103,-6.94,17.8,43.55,5.34,9.05,0.03,0.05,0.01,0.63,0.47,0.47,31.22,31.04
603718,海利生物,生物制药,上海,69.04,6.44,6.44,0.032,1.69,5.22,20150515,-15.52,-17.35,63.3,33.37,8.84,0.01,0.01,0.01,0.58,0.47,0.47,56.93,56.93
2529,海源机械,专用机械,福建,22.81,2,2.6,0.101,6.13,1.5,20101224,0.38,166.23,32.43,31.03,9.22,0.02,0.03,0.03,0.62,0.55,0.47,23.97,18.44
601599,鹿港文化,影视音像,江苏,39.57,8.73,8.94,0.023,2.91,1.26,20110527,11.27,128.71,20.31,2.9,3.68,0.01,0.02,0.02,0.64,0.47,0.47,32.9,32.13
2519,银河电子,通信设备,江苏,29.35,8.32,11.26,0.065,3.27,1.17,20101207,-3.43,-18.89,29.56,10.24,3.84,0,0,0,0.75,0.57,0.47,43.24,31.95
2071,长城影视,影视音像,江苏,37.46,5.18,5.25,0.035,1.28,4.11,20061012,100.23,49.31,37.21,7.91,5.25,0,0,0,0.65,0.52,0.47,27.56,27.2
892,欢瑞世纪,影视音像,重庆,126.84,5.17,9.81,0.009,3.19,1.36,19990115,153.06,129.05,40,10.68,4.35,0.01,0.02,0.02,0.73,0.49,0.47,42.67,22.49
300490,华自科技,电气设备,湖南,78.59,0.91,2.29,0.04,5.34,2.37,20151231,81.68,34.36,36.34,4.84,12.68,0.14,0.19,0.15,0.55,0.47,0.47,29.04,11.54
2245,澳洋顺昌,仓储物流,江苏,14.12,9.14,9.87,0.09,2.49,2.06,20080605,39.99,40.7,23.83,9.87,5.14,0,0,0,0.56,0.54,0.47,50.73,46.98
2693,双成药业,化学制药,海南,0,4.03,4.05,-0.009,1.41,3.37,20120808,124.87,60.62,63.05,-3.6,4.75,0.01,0.03,0,0.63,0.47,0.47,19.24,19.14
766,通化金马,中成药,吉林,22.8,5.73,9.66,0.144,4.68,1.4,19970430,54.3,11.53,81.72,16.16,6.56,0.01,0.01,0.01,0.7,0.55,0.46,63.37,37.59
300275,梅安森,软件服务,重庆,79.64,1.19,1.64,0.025,3.32,2.43,20111102,-74.61,-84.82,51.01,10.32,8.07,0.01,0.01,0.02,0.76,0.58,0.46,13.23,9.6
2247,帝龙文化,软件服务,浙江,8.92,5.24,8.51,0.2,6.13,1.14,20080612,79.47,109.35,23.97,18.69,6.96,0.01,0.02,0.02,0.64,0.54,0.46,59.23,36.47
2170,芭田股份,农药化肥,深圳,0,6.55,8.87,-0.031,2.16,1.44,20070919,-5.69,-597.07,12.1,-7.26,3.11,0,0.01,0.01,0.73,0.62,0.46,27.59,20.37
2767,先锋电子,电器仪表,浙江,76.17,1.24,1.5,0.084,4.66,2.76,20150612,-0.54,-22.87,32.76,9.43,12.85,0.01,0.02,0.02,0.76,0.54,0.46,19.28,15.93
300477,合纵科技,电气设备,北京,329.31,2.85,5.82,0.009,3.31,3.43,20150610,110.21,140.27,20.92,1.37,11.35,0.24,0.2,0.2,0.46,0.46,0.46,66.06,32.35
300137,先河环保,环境保护,河北,49.21,4.74,5.51,0.035,2.94,2.35,20101105,27.3,47.24,47.89,8.37,6.93,0,0,0,0.69,0.61,0.46,38.18,32.85
300345,红宇新材,钢加工,湖南,2053.86,3.27,4.41,0.001,1.65,2.86,20120801,-33.92,109.93,21.66,0.8,4.71,0.01,0.03,0.03,0.68,0.46,0.46,20.77,15.4
600207,安彩高科,元器件,河南,0,6.9,8.63,-0.012,2.2,2.55,19990714,39.02,39.9,8.48,-1.7,5.59,0.06,0.07,0.03,0.5,0.46,0.46,48.24,38.57
2035,华帝股份,家用电器,广东,21.63,7.81,8.73,0.132,4.06,2.82,20040901,23.23,49.59,45.36,8.1,11.44,0.13,0.03,0.03,0.5,0.5,0.46,99.87,89.35
300109,新开源,化工原料,河南,40.05,1.11,2.21,0.11,6.01,2.94,20100825,31.49,0.92,44.64,17.45,17.66,0,0,0,0.6,0.46,0.46,39.03,19.6
600133,东湖高新,园区开发,湖北,30.96,5.38,7.26,0.041,5.06,1.01,19980212,15.36,-95.64,16.48,2.09,5.11,0,0,0,0.64,0.58,0.46,37.1,27.49
669,金鸿控股,供气供热,吉林,9.48,6.7,6.8,0.127,6.18,0.78,19961210,45.31,1.73,25.28,8.74,4.81,0,0,0,0.65,0.65,0.46,32.71,32.23
601222,林洋能源,电器仪表,江苏,13.66,17.49,17.65,0.08,5,0.91,20110808,-10.95,10.15,44.51,25.16,4.54,0.02,0.02,0.04,0.61,0.59,0.46,80.13,79.4
603799,华友钴业,小金属,浙江,12.39,8.2,8.3,1.025,8.14,6.24,20150129,96.36,237.96,35.11,24.79,50.82,0.42,0.11,0.06,0.46,0.46,0.46,421.81,416.72
953,ST河化,农药化肥,广西,0,2.94,2.94,-0.241,-0.16,-30.16,19991202,-0.73,-394.94,-21.76,-44.7,4.78,0,0,0,0.77,0.52,0.46,14.05,14.05
2312,三泰控股,电脑设备,四川,0,10.73,14.05,-0.063,2.36,1.48,20091203,-17.32,-208.16,4.12,-53.26,3.5,0.02,0.06,0.08,0.73,0.53,0.46,49.18,37.56
600069,银鸽投资,造纸,河南,273.71,16.24,16.24,0.003,1.3,2.66,19970430,5.58,117.84,8.61,0.77,3.47,0,0,0,0.71,0.52,0.46,56.35,56.35
600749,*ST藏旅,旅游景点,西藏,0,1.89,2.27,-0.12,4.44,2.02,19961015,30.97,12.05,-74.15,-233.05,8.95,0.01,0.01,0.02,0.66,0.63,0.46,20.32,16.92
2271,东方雨虹,其他建材,北京,55.84,9.72,14.99,0.07,4.83,3.05,20080910,27.16,25.52,35.95,5.19,14.73,0.17,0,0,0.46,0.46,0.46,220.8,143.18
2760,凤形股份,机械基件,安徽,209.05,0.72,0.88,0.017,5.5,2.55,20150611,9.79,137.76,16.61,1.42,14.03,0,0,0,0.75,0.74,0.46,12.35,10.1
603011,合锻智能,机床制造,安徽,45.75,4.12,4.53,0.03,3.83,1.29,20141107,-1.71,38.17,33.26,7.19,4.95,0,0,0,0.66,0.58,0.45,22.42,20.39
300010,立思辰,软件服务,北京,100.97,6.31,8.73,0.02,6.3,1.31,20091030,-15.73,-25.4,44.98,6.9,8.23,0,0,0,0.59,0.45,0.45,71.85,51.93
2715,登云股份,汽车配件,广东,137.13,0.82,0.92,0.024,5.2,2.48,20140219,18.22,-64.01,23.56,2.28,12.91,0,0,0,0.68,0.62,0.45,11.88,10.59
2795,永和智控,机械基件,浙江,107.42,0.64,2,0.038,3.12,5.23,20160428,23.07,-37.06,23.66,5.76,16.32,0.15,0.27,0.25,0.64,0.45,0.45,32.64,10.44
2718,友邦吊顶,家居用品,浙江,53.26,0.26,0.88,0.13,12.9,2.14,20140128,32.37,-34.3,40.56,9.64,27.63,0.01,0.01,0.01,0.69,0.53,0.45,24.31,7.18
300221,银禧科技,塑料,广东,24.2,4.23,5.05,0.099,4.52,2.13,20110525,41.23,16.02,20.49,7.88,9.62,0.04,0.1,0.1,0.68,0.45,0.45,48.58,40.69
566,海南海药,化学制药,海南,27.98,11.03,13.36,0.12,3.49,1.79,19940525,51.06,31.61,62.23,12.97,6.26,0,0,0,0.57,0.53,0.45,83.63,69.05
600110,诺德股份,电气设备,吉林,60.4,11.5,11.5,0.021,1.82,2.75,19971007,-25.26,-32.75,26.58,4.54,5,0,0,0,0.69,0.66,0.45,57.5,57.5
300511,雪榕生物,种植业,上海,7.16,2.32,4.34,0.258,3.46,2.14,20160504,106.35,132.28,27.9,20.7,7.4,0.01,0.02,0.02,0.67,0.51,0.45,32.12,17.17
601633,长城汽车,汽车整车,河北,7.6,60.28,91.27,0.228,5.61,1.24,20110928,13.06,6.46,20.44,7.93,6.93,0,0,0,0.51,0.47,0.45,632.5,417.74
2464,众应互联,互联网,江苏,13.89,2.83,3.26,0.188,4.39,2.38,20100831,101.89,21.2,67.76,35.24,10.46,0.03,0.05,0.09,0.74,0.62,0.45,34.1,29.6
300118,东方日升,半导体,浙江,18.95,6.92,9.04,0.089,8.3,0.81,20100902,25.87,3.86,14.56,3.85,6.72,0,0,0,0.62,0.53,0.45,60.75,46.5
600312,平高电气,电气设备,河南,0,13.57,13.57,-0.096,6.28,0.8,20010221,-36.31,-137.33,11.38,-4.99,5.03,0.01,0.01,0.02,0.7,0.58,0.45,68.26,68.26
2558,巨人网络,互联网,重庆,28.31,4.27,20.24,0.169,4.42,4.34,20110302,42.97,1,74.58,32,19.15,0.02,0.03,0.05,0.74,0.56,0.45,387.6,81.77
600187,国中水务,水务,黑龙江,0,14.56,16.54,-0.001,2.12,1.41,19981111,1.12,54.42,31.47,-2.41,2.98,0.06,0.1,0.1,0.59,0.45,0.45,49.29,43.39
2181,粤 传 媒,出版业,广东,0,11.34,11.61,-0.003,3.37,1.08,20071116,-3.68,87.15,31.21,-2.07,3.63,0,0,0,0.56,0.45,0.45,42.14,41.16
2454,松芝股份,汽车配件,上海,20.66,6.17,6.32,0.062,5,1.03,20100720,-6.45,-46.95,26.31,4.26,5.15,0,0.01,0.01,0.55,0.48,0.45,32.55,31.78
600499,科达洁能,专用机械,广东,12.71,14.11,15.77,0.113,3.56,1.62,20021010,4.22,1.21,22.7,11.65,5.75,0.02,0.02,0.03,0.6,0.6,0.45,90.68,81.13
2220,天宝食品,食品,辽宁,84.29,5.45,7.66,0.01,3.61,0.94,20080228,-9.06,-66.33,18.14,3.24,3.38,0.01,0.02,0.02,0.66,0.46,0.45,25.89,18.42
2605,姚记扑克,文教休闲,上海,44.27,2.67,3.97,0.036,4.06,1.57,20110805,-32.41,-43.64,23.87,11.65,6.36,0,0,0.01,0.69,0.54,0.45,25.25,16.98
300002,神州泰岳,软件服务,北京,0,13.94,19.61,-0.024,2.6,1.56,20091030,-48.08,-346.64,73.99,-14.15,4.05,0.04,0.07,0.09,0.64,0.51,0.45,79.42,56.46
2074,国轩高科,电气设备,江苏,22.46,11.13,11.37,0.142,7.38,1.72,20061018,-4.32,-20.33,32.87,15.19,12.72,0,0,0,0.61,0.58,0.45,144.63,141.57
2447,晨鑫科技,互联网,辽宁,16.62,11.5,14.27,0.051,1.51,2.23,20100713,191.73,559.98,73.05,46.88,3.36,0.07,0.07,0.11,0.57,0.57,0.45,47.95,38.64
600157,永泰能源,煤炭开采,山西,10.16,124.26,124.26,0.041,1.99,0.84,19980513,-12.19,378.51,24.87,10.94,1.67,0.02,0.03,0.04,0.65,0.56,0.45,207.51,207.51
506,中润资源,区域地产,山东,0,9.29,9.29,-0.05,1.02,2.91,19930312,81.62,-22.91,17.83,-47.02,2.96,0.03,0.04,0.08,0.74,0.66,0.45,27.5,27.5
2655,共达电声,元器件,山东,0,3.6,3.6,-0.04,1.26,5.32,20120217,1.75,-830.26,23.48,-8.72,6.69,0,0,0,0.65,0.45,0.45,24.08,24.08
300304,云意电气,汽车配件,江苏,29.57,8.39,8.72,0.033,2.01,1.92,20120321,-6.29,-17.52,34.92,18.29,3.86,0,0.01,0.02,0.8,0.67,0.45,33.66,32.39
