,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
542,300136,信维通信,0.2091,0.0357,1.0317,0.1233,14.8703
543,600197,伊力特,0.2077,0.0372,1.0363,0.1725,17.8868
544,300549,优德精密,0.2076,,1.9336,,
545,603689,皖天然气,0.2075,,3.9019,,
546,300067,安诺其,0.2074,0.0399,2.2608,0.1119,11.2465
547,002913,奥士康,0.2073,0.0471,1.3243,0.1004,10.1626
548,002650,加加食品,0.2072,0.0385,1.9072,0.1275,13.2134
549,300313,天山生物,0.2063,0.026,,0.0503,5.7708
550,600370,三房巷,0.206,0.0266,2.2386,0.2354,23.5418
551,000541,佛山照明,0.2058,0.0303,1.7328,0.1832,30.0235
552,603345,安井食品,0.2052,,3.2128,,
553,300383,光环新网,0.2047,0.0103,1.0466,0.0128,1.7964
554,002083,孚日股份,0.2047,0.0294,2.3534,0.0492,5.3297
555,600489,中金黄金,0.2038,0.0299,12.1895,0.0435,6.7935
556,300570,太辰光,0.2034,,1.1113,,
557,000751,锌业股份,0.2028,0.0485,12.7912,0.1083,13.4083
558,002326,永太科技,0.2019,0.0237,2.2197,0.0526,5.6174
559,603885,吉祥航空,0.2017,0.0356,1.1388,0.0488,7.4592
560,002756,永兴特钢,0.2017,0.0417,2.4911,0.4715,56.5049
561,002165,红宝丽,0.201,0.0453,2.5004,0.1162,11.9836
562,300160,秀强股份,0.2005,0.0371,1.7226,0.12,13.2689
563,603586,金麒麟,0.2004,,1.2702,,
564,002267,陕天然气,0.2002,0.0482,1.4742,0.1008,18.0331
565,603919,金徽酒,0.1999,0.0393,0.9627,0.1186,13.4239
566,002033,丽江旅游,0.1994,0.0112,0.5908,0.0615,20.047
567,600823,世茂股份,0.1993,0.0078,1.7607,0.0125,1.8937
568,000989,九芝堂,0.1993,0.0259,0.9082,0.1757,19.8663
569,603758,秦安股份,0.1992,,0.8626,,
570,002147,新光圆成,0.199,0.0072,,0.0263,2.6934
571,300323,华灿光电,0.199,0.0115,,0.0191,2.7649
572,603908,牧高笛,0.1987,,1.314,,
573,002737,葵花药业,0.1986,0.0383,1.4184,0.1226,16.9094
574,300642,透景生命,0.1986,,0.5902,,
575,000558,莱茵体育,0.1985,0.0409,4.7907,0.0867,14.158
576,000813,德展健康,0.1983,0.0072,,0.0234,2.9126
577,603519,立霸股份,0.198,0.0416,1.9605,0.1896,19.0435
578,300433,蓝思科技,0.1976,0.0268,3.1961,0.0581,6.311
579,601918,新集能源,0.1975,0.0077,,0.009,2.1104
580,002700,新疆浩源,0.1971,0.019,0.7759,0.1287,12.9701
581,600557,康缘药业,0.197,0.0316,1.6593,0.0981,10.6023
582,002865,钧达股份,0.1969,,3.8914,,
583,600731,湖南海利,0.1965,0.029,8.0085,0.0525,6.1156
584,603616,韩建河山,0.1959,0.0051,,0.0113,1.1461
585,603118,共进股份,0.1957,0.0733,3.7782,0.155,15.7022
586,300039,上海凯宝,0.1953,0.0332,1.0121,0.1883,20.8765
587,000685,中山公用,0.1951,0.0042,0.2914,0.0173,3.7417
588,601118,海南橡胶,0.1949,0.0173,,0.0447,8.3607
589,002562,兄弟科技,0.1943,0.0242,1.1395,0.1369,16.0932
590,002790,瑞尔特,0.1939,0.0219,1.0593,0.1295,17.1181
591,002345,潮宏基,0.1935,0.0325,1.7994,0.0793,7.9337
592,002851,麦格米特,0.1935,,2.4793,,
593,002648,卫星石化,0.1932,0.0288,80.5838,0.0518,6.1184
594,600790,轻纺城,0.1932,0.0053,0.4713,0.0112,1.1521
