,code,name,mbrg,nprg,nav,targ,epsg,seg
524,600277,亿利洁能,47.5325,75.92,6.1422,3.9152,67.7852,4.6746
525,300527,中国应急,-6.3214,75.869,11.3617,-9.3219,71.1111,11.3617
526,000557,西部创业,15.8276,75.7162,2.4176,-1.2592,68.1818,2.4372
527,601111,中国国航,9.1055,75.6627,9.2546,0.5436,72.7273,8.4347
528,000799,酒鬼酒,46.119,75.6408,6.8266,9.4663,68.8596,6.1575
529,600057,厦门象屿,15.7209,75.4633,37.7768,7.3601,16.6667,42.2034
530,600360,华微电子,12.5311,75.3823,5.1299,12.1783,50.0,5.0893
531,300296,利亚德,61.2977,75.2421,51.5581,9.9305,-14.2857,51.8701
532,601007,金陵饭店,20.9369,75.1136,4.4338,1.8567,70.9677,5.2609
533,002349,精华制药,7.5403,75.1046,13.6042,28.0841,88.1579,9.7506
534,300095,华伍股份,50.3944,75.068,3.9709,14.4255,81.4035,4.2422
535,002135,东南网架,-1.8167,74.8462,59.3731,17.0271,25.0,60.0257
536,603882,金域医学,14.6222,74.7088,,,0.0,
537,601869,长飞光纤,35.2448,74.68,,,71.875,
538,002574,明牌珠宝,12.2642,74.2501,2.7917,1.6315,75.0,2.508
539,600728,佳都科技,8.3335,74.2291,6.5083,15.2813,124.6914,7.63
540,002269,美邦服饰,30.1166,74.2066,-8.92,13.4634,100.0,-8.92
541,002680,ST长生,54.0541,74.1186,9.4131,13.7252,79.4444,9.3858
542,300725,药石科技,86.7938,73.8335,,,17.3913,
543,600590,泰豪科技,57.9726,73.7049,-0.2934,20.7683,83.7838,-1.477
544,600884,杉杉股份,17.9379,73.4908,34.3948,58.9607,79.7297,33.9724
545,000878,云南铜业,-14.7558,73.0567,25.5034,19.0306,66.4,12.2427
546,300352,北信源,38.8505,72.9335,3.2094,8.0233,-42.8571,3.2422
547,603569,长久物流,3.1183,72.6269,20.1919,22.7556,45.4545,17.1639
548,002716,金贵银业,8.5485,72.485,61.5784,16.6831,20.0,67.7482
549,603117,万林股份,97.0326,72.427,11.3553,19.7062,75.0,3.2383
550,000050,深天马A,126.4772,72.1929,81.8456,161.5662,49.2222,81.8456
551,300670,大烨智能,17.6166,72.1874,130.9783,96.1765,29.3689,130.9783
552,603025,大豪科技,50.0791,72.1673,45.0022,44.3014,61.5385,45.543
553,000338,潍柴动力,12.0719,72.1601,26.9756,12.2812,-20.0,13.0425
554,300098,高新兴,200.5375,72.0264,35.543,52.6162,55.2036,35.5948
555,300620,光库科技,44.7887,71.6067,15.1549,23.688,27.304,15.1504
556,000078,海王生物,119.7096,71.5815,11.0872,92.4652,66.2824,3.8553
557,000778,新兴铸管,-21.5723,71.1614,2.6724,-2.4804,54.323,3.1297
558,601619,嘉泽新能,27.6299,71.0226,,,54.2169,
559,002237,恒邦股份,-6.3122,70.6968,13.2383,-1.3988,75.0,13.438
560,002365,永安药业,27.5849,70.6645,20.1049,17.225,76.9231,20.2398
561,300389,艾比森,69.3694,70.6132,7.2357,2.3023,72.5248,7.6651
562,300335,迪森股份,51.5102,70.5763,21.5654,11.8503,83.3853,21.819
563,300457,赢合科技,59.1747,70.2829,18.2909,34.5996,-38.7097,19.2423
564,603040,新坐标,60.7878,70.016,22.4122,31.2879,72.0,20.6239
565,600652,游久游戏,-46.2743,69.5211,-20.4076,-16.6559,70.5882,-20.4076
566,600736,苏州高新,18.4881,69.1358,77.7448,44.4248,11.6972,44.6212
567,603655,朗博科技,2.7904,68.9684,,,33.3333,
568,300237,美晨生态,21.1055,68.8068,25.7263,42.271,66.6667,22.5056
569,300253,卫宁健康,22.9259,68.3846,7.7036,6.5054,-20.743,7.8954
570,603716,塞力斯,59.7778,68.36,17.4898,51.0158,-10.3448,11.0517
571,002291,星期六,-8.6874,68.3539,-17.8202,-5.6055,64.5051,-18.3093
572,600461,洪城水业,47.6031,68.1683,6.1667,11.4376,71.4286,5.1739
573,600779,水井坊,87.7335,68.0129,11.1056,27.5633,68.0276,11.1056
574,300506,名家汇,62.4363,67.9101,25.7373,62.6858,69.6429,25.7015
575,300482,万孚生物,101.9361,67.8789,39.2708,45.7694,57.0356,23.8245
576,002024,苏宁易购,32.7554,67.6827,12.381,16.7132,19.0,13.3669
577,002056,横店东磁,13.4607,67.6527,15.7604,22.0019,-25.0,15.794
