,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
1663,603711,香飘飘,-2.97,-6.27,30.9501,-54.586,-0.1364,869.9064,2.1747
1664,002423,中原特钢,-2.98,-9.64,6.6392,-45.5973,-0.0906,472.7801,0.9399
1665,002524,光正集团,-3.01,-8.07,16.7712,-23.6252,-0.0469,292.7149,0.5815
1666,002157,正邦科技,-3.1,-1.56,7.0641,-190.9422,-0.0818,12221.6676,5.237
1667,300525,博思软件,-3.1,-12.38,61.4797,-14.0574,-0.1084,113.5123,0.8754
1668,600151,航天机电,-3.14,-5.22,12.094,-174.6627,-0.1217,3341.1752,2.3295
1669,600209,*ST罗顿,-3.17,-75.22,9.9676,-19.0284,-0.0433,25.2968,0.0576
1670,601798,*ST蓝科,-3.33,-35.65,18.4312,-56.1177,-0.1582,157.4108,0.444
1671,600733,SST前锋,-3.77,-1609.69,100.0,-6.9964,-0.0354,0.4346,0.0021
1672,000576,广东甘化,-3.77,-23.41,2.0557,-37.0354,-0.0836,158.141,0.357
1673,600333,长春燃气,-4.12,-11.72,26.0292,-86.3626,-0.1418,736.4207,1.2091
1674,002184,海得控制,-4.3,-5.91,18.7914,-44.8839,-0.1848,759.2522,3.1273
1675,000695,滨海能源,-4.3,-2.19,7.6466,-13.9344,-0.0627,633.9785,2.8538
1676,300557,理工光科,-4.43,-64.41,29.699,-19.8311,-0.3562,30.7873,0.553
1677,600520,文一科技,-4.44,-12.49,18.675,-18.6197,-0.1175,149.0396,0.9407
1678,300161,华中数控,-4.46,-14.76,32.5608,-48.9699,-0.2834,331.6178,1.9191
1679,300397,天和防务,-4.47,-64.3,39.6193,-52.4816,-0.2186,81.6112,0.34
1680,000929,兰州黄河,-4.5,-11.2,36.1612,-31.5881,-0.17,281.989,1.5179
1681,603099,长白山,-4.63,-38.27,-10.1963,-41.8614,-0.1569,109.3831,0.4101
1682,002114,罗平锌电,-4.65,-13.5,11.1279,-80.0231,-0.2474,592.7025,1.8327
1683,300471,厚普股份,-4.78,-47.68,31.2127,-76.717,-0.2069,160.8878,0.4341
1684,002848,高斯贝尔,-4.81,-8.01,14.5098,-31.1317,-0.1862,388.4877,2.3241
1685,000852,石化机械,-4.93,-4.47,17.2995,-82.8885,-0.1385,1850.8544,3.0942
1686,600860,京城股份,-5.12,-6.03,13.1069,-28.6825,-0.0679,474.9725,1.1255
1687,600301,ST南化,-5.4,-19.08,3.1463,-12.6735,-0.0538,66.4184,0.2824
1688,000633,合金投资,-6.15,-23.41,18.5693,-9.191,-0.0238,39.2561,0.1019
1689,600281,太化股份,-6.86,-11.27,3.4322,-35.8996,-0.0697,318.2705,0.6187
1690,002175,东方网络,-7.05,-65.35,3.807,-69.0789,-0.0916,105.6992,0.1402
1691,300588,熙菱信息,-7.12,-16.7,28.5211,-24.4939,-0.153,146.5904,0.9161
1692,002252,上海莱士,-7.32,-88.17,66.782,-847.1273,-0.1702,960.7637,0.1931
1693,600396,金山股份,-7.38,-5.38,6.6671,-185.1746,-0.1257,3440.7796,2.3363
