,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
780,002565,顺灏股份,2.0398,1.3409,54.8899,451.6932,65.4307,34.5693
781,000713,丰乐种业,1.7002,0.6017,12.7421,288.9689,65.4032,34.5968
782,002597,金禾实业,2.6666,2.4313,99.3647,5494.3628,65.3433,34.6567
783,000682,东方电子,2.453,1.8353,76.5528,-1132.3664,65.3135,34.6865
784,600508,上海能源,0.9029,0.8125,16.9778,1824.6196,65.2864,34.7136
785,600763,通策医疗,2.2636,2.148,157.0554,1505.4404,65.2774,34.7226
786,002775,文科园林,2.5158,1.7234,81.1286,661.8557,65.2403,34.7597
787,002049,紫光国微,3.3341,2.5524,101.6789,10050.2147,65.2295,34.7705
788,603538,美诺华,1.4267,1.0358,37.1735,1707.0571,65.1911,34.8089
789,603979,金诚信,2.741,2.3176,68.644,927.3042,65.1724,34.8276
790,603138,海量数据,3.7621,3.5236,141.3871,-1522.5338,65.1302,34.8698
791,002084,海鸥住工,1.9369,1.4249,62.0718,-1129.1994,65.1197,34.8803
792,600872,中炬高新,3.3116,1.9847,37.54,1720.0844,65.1063,34.8937
793,600647,同达创业,2.5027,2.1423,106.3682,2752.3987,65.0691,34.9309
794,600796,钱江生化,1.7607,1.2207,57.2781,34.7681,65.0324,34.9676
795,002265,西仪股份,2.2225,1.5926,52.2389,637.9515,65.0317,34.9683
796,002799,环球印务,1.5089,1.2185,59.227,556.5195,65.0251,34.9749
797,603300,华铁科技,1.1028,1.1009,75.0559,648.833,64.8685,35.1315
798,600237,铜峰电子,1.56,1.2142,47.6837,176.1717,64.8324,35.1676
799,603331,百达精工,1.7614,1.2991,28.1805,628.1804,64.8185,35.1815
800,000999,华润三九,1.3167,1.062,30.1744,25972.4151,64.8152,35.1848
801,600444,国机通用,2.2784,1.8401,54.2158,-247.469,64.8012,35.1988
802,002434,万里扬,1.5842,1.2481,29.5234,962.9553,64.8008,35.1992
803,002232,启明信息,2.4381,2.0368,103.0684,-334.5843,64.7852,35.2148
804,600814,杭州解百,1.5927,1.5671,127.571,-3308.5639,64.7734,35.2266
805,300383,光环新网,1.9846,1.9792,27.7351,699.9992,64.7617,35.2383
806,002726,龙大肉食,2.0624,1.339,82.0762,-1744.4244,64.568,35.432
807,002187,广百股份,1.4468,1.3394,46.3976,4465.0776,64.5566,35.4434
808,300471,厚普股份,1.5025,1.2239,21.9321,-1130.3826,64.5306,35.4694
809,603966,法兰泰克,2.4195,1.7572,78.4962,-713.1283,64.4893,35.5107
810,603238,诺邦股份,2.0086,1.617,66.7727,2773.2291,64.4457,35.5543
811,600982,宁波热电,2.1901,2.15,109.5399,1732.0733,64.3041,35.6959
812,601677,明泰铝业,1.8891,1.3381,34.0952,1608.7455,64.2877,35.7123
813,603991,至正股份,1.8451,1.6684,3.1945,480.4464,64.2504,35.7496
814,002075,沙钢股份,1.6725,1.2559,8.3926,-18496.9746,64.2374,35.7626
815,603259,药明康德,1.5728,1.394,29.4006,2482.9723,64.1911,35.8089
816,600419,天润乳业,1.2298,0.9804,80.6368,-7776.7964,64.1888,35.8112
817,000719,中原传媒,2.0958,1.759,100.3098,-1578.8941,64.1835,35.8165
818,300316,晶盛机电,2.0544,1.4372,24.9211,11334.7182,64.1691,35.8309
819,600355,精伦电子,1.8791,1.2016,19.6816,895.4556,64.1637,35.8363
820,600805,悦达投资,0.8372,0.7276,28.4948,277.9368,64.1402,35.8598
821,002410,广联达,3.0742,3.0442,225.3623,1364.8527,64.1207,35.8793
822,600380,健康元,2.1836,1.9459,127.0141,-1643.7883,64.1006,35.8994
823,002497,雅化集团,1.4071,0.898,19.6729,771.3122,64.0688,35.9312
824,600193,*ST创兴,0.7363,0.7048,67.4793,-2063.3525,63.9657,36.0343
825,002771,真视通,2.3956,1.6583,22.2021,-2581.1127,63.8703,36.1297
