rank2018,rank2017,name,income,profit,code,market,note,note2
226,171,中金黄金股份有限公司,32928,291,0000,,,
227,187,重庆百货大楼股份有限公司,32915,605,0000,,,
228,250,桐昆集团股份有限公司,32814,1761,0000,,,
229,338,佳兆业集团控股有限公司,32779,3285,0000,,,
230,210,四川路桥建设集团股份有限公司,32763,1064,0000,,,
231,304,东华能源股份有限公司,32678,1063,0000,,,
232,175,中国航空科技工业股份有限公司,32597,1222,0000,,,
233,231,广东海大集团股份有限公司,32557,1207,0000,,,
234,228,申能股份有限公司,32404,1738,0000,,,
235,205,哈尔滨电气股份有限公司,31981,194,0000,,,
236,271,旭辉控股（集团）有限公司,31824,4828,0000,,,
237,217,国投电力控股股份有限公司,31645,3232,0000,,,
238,221,上海隧道工程股份有限公司,31526,1810,0000,,,
239,239,江铃汽车股份有限公司,31346,691,0000,,,
240,299,康佳集团股份有限公司,31228,5057,0000,,,
241,244,中航飞机股份有限公司,31079,471,0000,,,
242,230,中国金茂控股集团有限公司,31075,3978,0000,,,
243,191,东方电气股份有限公司,30830,673,0000,,,
244,184,江苏中南建设集团股份有限公司,30552,603,0000,,,
245,499,融信中国控股有限公司,30341,1680,0000,,,
246,208,内蒙古西水创业股份有限公司,30246,2395,0000,,,
247,255,宜宾五粮液股份有限公司,30187,9674,0000,,,
248,247,中国医药健康产业股份有限公司,30102,1299,0000,,,
249,333,浙江海亮股份有限公司,29913,705,0000,,,
250,264,山东晨鸣纸业集团股份有限公司,29852,3769,0000,,,
251,249,航天信息股份有限公司,29754,1557,0000,,,
252,222,华润啤酒（控股）有限公司,29732,1175,0000,,,
253,257,环旭电子股份有限公司,29706,1314,0000,,,
254,220,中国石油集团资本股份有限公司,29306,6843,0000,,,
255,353,徐工集团工程机械股份有限公司,29131,1021,0000,,,
256,308,山西西山煤电股份有限公司,28655,1569,0000,,,
257,268,中国国旅股份有限公司,28282,2531,0000,,,
258,226,海通证券股份有限公司,28222,8618,0000,,,
259,328,阳泉煤业（集团）股份有限公司,28114,1638,0000,,,
260,362,五矿资源有限公司,27974,993,0000,,,
261,265,一汽轿车股份有限公司,27902,281,0000,,,
262,307,杭州钢铁股份有限公司,27856,1796,0000,,,
263,252,华东医药股份有限公司,27832,1780,0000,,,
264,445,供销大集集团股份有限公司,27790,1415,0000,,,
265,296,大明国际控股有限公司,27724,67,0000,,,
266,295,龙光地产控股有限公司,27690,6431,0000,,,
267,236,南京医药股份有限公司,27473,239,0000,,,
268,243,保利置业集团有限公司,27468,2133,0000,,,
269,227,西部矿业股份有限公司,27377,261,0000,,,
270,287,江苏中天科技股份有限公司,27101,1788,0000,,,
271,273,安阳钢铁股份有限公司,27029,1601,0000,,,
272,281,天能动力国际有限公司,26904,1178,0000,,,
273,306,携程国际有限公司,26780,2142,0000,,,
274,225,大商股份有限公司,26744,877,0000,,,
275,266,广东电力发展股份有限公司,26644,743,0000,,,
276,329,宁波均胜电子股份有限公司,26606,396,0000,,,
277,280,康美药业股份有限公司,26477,4101,0000,,,
278,284,晶科能源控股有限公司,26473,142,0000,,,
279,245,青岛啤酒股份有限公司,26277,1263,0000,,,
280,251,耐世特汽车系统集团有限公司,26184,2375,0000,,,
281,290,通威股份有限公司,26089,2012,0000,,,
282,337,王府井集团股份有限公司,26085,910,0000,,,
283,422,广东韶钢松山股份有限公司,26038,2517,0000,,,
284,232,同方股份有限公司,25989,104,0000,,,
285,277,华润水泥控股有限公司,25956,3134,0000,,,
286,315,江苏亨通光电股份有限公司,25950,2109,0000,,,
287,248,仁恒置地集团有限公司,25638,3216,0000,,,
288,386,中储发展股份有限公司,25620,1338,0000,,,
289,323,上海实业控股有限公司,25563,2730,0000,,,
290,316,歌尔股份有限公司,25537,2139,0000,,,
291,305,金融街控股股份有限公司,25519,3006,0000,,,
292,463,浪潮电子信息产业股份有限公司,25488,428,0000,,,
293,233,际华集团股份有限公司,25440,755,0000,,,
294,260,宁波银行股份有限公司,25314,9334,0000,,,
295,237,联华超市股份有限公司,25225,-283,0000,,,
296,242,新疆金风科技股份有限公司,25129,3055,0000,,,
